time_period,time_identifier,geographic_level,country_code,country_name,age_band,graduate_type,employment_proportion_part_time,employment_accuracy,employment_suppression
2007,Calendar year,National,E92000001,England,16-64,Graduate,16.8,0,0
2007,Calendar year,National,E92000001,England,16-64,Non-graduate,26.6,0,0
2007,Calendar year,National,E92000001,England,16-64,Postgraduate,16.9,0,0
2007,Calendar year,National,E92000001,England,21-30,Graduate,10.2,0,0
2007,Calendar year,National,E92000001,England,21-30,Non-graduate,18.6,0,0
2007,Calendar year,National,E92000001,England,21-30,Postgraduate,7.8,0,0
2008,Calendar year,National,E92000001,England,16-64,Graduate,16.8,0,0
2008,Calendar year,National,E92000001,England,16-64,Non-graduate,26.7,0,0
2008,Calendar year,National,E92000001,England,16-64,Postgraduate,16.7,0,0
2008,Calendar year,National,E92000001,England,21-30,Graduate,10.6,0,0
2008,Calendar year,National,E92000001,England,21-30,Non-graduate,19.3,0,0
2008,Calendar year,National,E92000001,England,21-30,Postgraduate,8.0,0,0
2009,Calendar year,National,E92000001,England,16-64,Graduate,18.5,0,0
2009,Calendar year,National,E92000001,England,16-64,Non-graduate,27.6,0,0
2009,Calendar year,National,E92000001,England,16-64,Postgraduate,17.2,0,0
2009,Calendar year,National,E92000001,England,21-30,Graduate,13.6,0,0
2009,Calendar year,National,E92000001,England,21-30,Non-graduate,21.1,0,0
2009,Calendar year,National,E92000001,England,21-30,Postgraduate,10.0,0,0
2010,Calendar year,National,E92000001,England,16-64,Graduate,19.4,0,0
2010,Calendar year,National,E92000001,England,16-64,Non-graduate,28.1,0,0
2010,Calendar year,National,E92000001,England,16-64,Postgraduate,19.1,0,0
2010,Calendar year,National,E92000001,England,21-30,Graduate,15.1,0,0
2010,Calendar year,National,E92000001,England,21-30,Non-graduate,22.0,0,0
2010,Calendar year,National,E92000001,England,21-30,Postgraduate,12.3,0,0
2011,Calendar year,National,E92000001,England,16-64,Graduate,19.6,0,0
2011,Calendar year,National,E92000001,England,16-64,Non-graduate,28.1,0,0
2011,Calendar year,National,E92000001,England,16-64,Postgraduate,19.8,0,0
2011,Calendar year,National,E92000001,England,21-30,Graduate,15.2,0,0
